surrogate,recipe,source,source_successful,target_original_benign,target_original_injection,target_perturbed_benign,true_target_flips,conditional_target_benign_rate,true_target_flip_rate
bert-base-ft,bae,Lakera/gandalf_ignore_instructions,58,0,58,36,36,0.6206896551724138,0.6206896551724138
bert-base-ft,bae,deepset/prompt-injections,17,9,8,13,4,0.7647058823529411,0.5
bert-base-ft,bae,jackhhao/jailbreak-classification,10,3,7,4,1,0.4,0.14285714285714285
bert-base-ft,bert-attack,Lakera/gandalf_ignore_instructions,60,0,60,17,17,0.2833333333333333,0.2833333333333333
bert-base-ft,bert-attack,deepset/prompt-injections,17,9,8,14,5,0.8235294117647058,0.625
bert-base-ft,bert-attack,jackhhao/jailbreak-classification,25,6,19,9,3,0.36,0.15789473684210525
bert-base-ft,deepwordbug,Lakera/gandalf_ignore_instructions,38,0,38,4,4,0.10526315789473684,0.10526315789473684
bert-base-ft,deepwordbug,deepset/prompt-injections,14,7,7,7,1,0.5,0.14285714285714285
bert-base-ft,deepwordbug,jackhhao/jailbreak-classification,2,0,2,0,0,0.0,0.0
bert-base-ft,pwws,Lakera/gandalf_ignore_instructions,29,0,29,17,17,0.5862068965517241,0.5862068965517241
bert-base-ft,pwws,deepset/prompt-injections,11,6,5,7,1,0.6363636363636364,0.2
bert-base-ft,pwws,jackhhao/jailbreak-classification,12,4,8,6,2,0.5,0.25
bert-base-ft,textfooler,Lakera/gandalf_ignore_instructions,49,0,49,18,18,0.3673469387755102,0.3673469387755102
bert-base-ft,textfooler,deepset/prompt-injections,17,9,8,11,3,0.6470588235294118,0.375
bert-base-ft,textfooler,jackhhao/jailbreak-classification,18,6,12,7,1,0.3888888888888889,0.08333333333333333
bilstm-attention,bae,Lakera/gandalf_ignore_instructions,82,0,82,20,20,0.24390243902439024,0.24390243902439024
bilstm-attention,bae,deepset/prompt-injections,14,7,7,8,1,0.5714285714285714,0.14285714285714285
bilstm-attention,bae,jackhhao/jailbreak-classification,23,4,19,5,2,0.21739130434782608,0.10526315789473684
bilstm-attention,bert-attack,Lakera/gandalf_ignore_instructions,97,0,97,3,3,0.030927835051546393,0.030927835051546393
bilstm-attention,bert-attack,deepset/prompt-injections,15,7,8,10,3,0.6666666666666666,0.375
bilstm-attention,bert-attack,jackhhao/jailbreak-classification,40,7,33,10,3,0.25,0.09090909090909091
bilstm-attention,deepwordbug,Lakera/gandalf_ignore_instructions,65,0,65,5,5,0.07692307692307693,0.07692307692307693
bilstm-attention,deepwordbug,deepset/prompt-injections,15,7,8,9,3,0.6,0.375
bilstm-attention,deepwordbug,jackhhao/jailbreak-classification,9,3,6,3,0,0.3333333333333333,0.0
bilstm-attention,pwws,Lakera/gandalf_ignore_instructions,96,0,96,10,10,0.10416666666666667,0.10416666666666667
